idVendedor,nrParcelas,vlPagamento
cc419e0650a3c5ba77189a1882b7556a,1,65.7099990844727
da8622b14eb17ae2831f4ac5b9dab84a,8,107.779998779297
813348c996469b40f2e028d5429d3495,1,81.1600036621094
25debeafbce801fdd479539350185eee,3,51.8400001525879
a67780aba9dd436e7ac0aa1f889e73ec,8,188.729995727539
1f50f920176fa81dab994f9023523100,1,141.899993896484
870d0118f7a9d85960f29ad89d5d989a,1,141.899993896484
afe0067131b73e40875c9b6c10bd2e21,5,102.660003662109
4a3ca9315b744ce9f8e9374361493884,4,105.279998779297
aced59e9b31ef866a94f9e7f29d8d418,4,47.689998626709
cd06602b43d8800bd0afad514919d35c,1,13.7799997329712
575df70bde3f9f2b30bf8d2e9910d725,1,26.5799999237061
7299e27ed73d2ad986de7f7c77d919fa,1,65.0899963378906
d91fb3b7d041e83b64a00a3edfb37e4f,1,173.839996337891
6fd52c528dcb38be2eea044946b811f8,2,47.7200012207031
1f50f920176fa81dab994f9023523100,1,266.160003662109
1f50f920176fa81dab994f9023523100,1,266.160003662109
1f50f920176fa81dab994f9023523100,1,266.160003662109
48436dade18ac8b2bce089ec2a041202,5,153.410003662109
3d871de0142ce09b7081e2b9d1733cb1,4,278.220001220703
a49928bcdf77c55c6d6e05e09a9b4ca5,4,91.6600036621094
3be634553519fb6536a03e1358e9fdc7,1,132.509994506836
70a12e78e608ac31179aea7f8422044b,4,210.820007324219
128639473a139ac0f3e5f5ade55873a5,1,34.0
cca3071e3e9bb7d12640c9fbe2301306,8,402.420013427734
dc4a0fc896dc34b0d5bfec8438291c80,8,402.420013427734
86ccac0b835037332a596a33b6949ee1,3,44.0099983215332
669ae81880e08f269a64487cfb287169,3,77.6999969482422
17e34d8224d27a541263c4c64b11a56b,8,117.709999084473
8160255418d5aaa7dbdc9f4c64ebda44,3,169.339996337891
a3e9a2c700480d9bb01fba070ba80a0e,3,169.339996337891
86ccac0b835037332a596a33b6949ee1,10,342.559997558594
1f50f920176fa81dab994f9023523100,7,73.3399963378906
da8622b14eb17ae2831f4ac5b9dab84a,4,117.849998474121
7040e82f899a04d1b434b795a43b4617,1,48.6199989318848
da8622b14eb17ae2831f4ac5b9dab84a,1,53.9900016784668
ea8482cd71df3c1969d7b9473ff13abc,1,51.1399993896484
1f50f920176fa81dab994f9023523100,1,73.3399963378906
6d66611d7c44cc30ce351abc49a68421,10,117.680000305176
dbb9b48c841a0e39e21f98e1a6b2ec3e,1,56.7700004577637
17ca9b9e9b9ef8fdb529001b49ebb50f,6,60.0699996948242
9de4643a8dbde634fe55621059d92273,3,195.710006713867
8f0fbe2cd4d472157dc1cdef6edecaa9,1,40.9900016784668
834f8533b2ecb6598dd004ff3de7203a,2,176.699996948242
834f8533b2ecb6598dd004ff3de7203a,2,176.699996948242
dbc22125167c298ef99da25668e1011f,8,134.559997558594
cc419e0650a3c5ba77189a1882b7556a,2,110.029998779297
4371b634e0efc0e22b09b52907d9d469,1,17.7800006866455
827f8f69dfa529c561901c4f2e0f332f,1,44.0
6560211a19b47992c3666cc44a7e94c0,4,46.6300010681152
813348c996469b40f2e028d5429d3495,7,76.0199966430664
7d76b645482be4a332374e8223836592,1,31.0
da8622b14eb17ae2831f4ac5b9dab84a,7,186.720001220703
3b15288545f8928d3e65a8f949a28291,6,125.529998779297
b3f19518fcec265b2e97af287725f981,5,92.7600021362305
00ee68308b45bc5e2660cd833c3f81cc,8,348.019989013672
41b39e28db005d9731d9d485a83b4c38,10,116.050003051758
08633c14ef2db992c11f840f04fad4cd,5,123.410003662109
76d64c4aca3a7baf218bf93ef7fa768d,10,379.070007324219
900ba814c251a692506d7834c1218441,1,45.5
4da0e408c99d2fdc2126dc9fce518060,1,91.1699981689453
272f092de69afedd4d2969440b37f18f,1,213.899993896484
272f092de69afedd4d2969440b37f18f,1,213.899993896484
272f092de69afedd4d2969440b37f18f,1,213.899993896484
272f092de69afedd4d2969440b37f18f,1,213.899993896484
