idVendedor,descTipoPagamento,qtdePedidoMeioPagamento,vlPedidoMeioPagamento
0015a82c2db000af6aaaf3ae2ecb0532,credit_card,3,2748.06005859375
001cca7ae9ae17fb1caed9dfb1094831,boleto,25,5695.21006774902
001cca7ae9ae17fb1caed9dfb1094831,credit_card,92,19143.7700653076
001cca7ae9ae17fb1caed9dfb1094831,debit_card,2,264.160003662109
001cca7ae9ae17fb1caed9dfb1094831,voucher,1,140.080001831055
002100f778ceb8431b7a1020ff7ab48f,boleto,16,788.48999786377
002100f778ceb8431b7a1020ff7ab48f,credit_card,21,776.629999637604
002100f778ceb8431b7a1020ff7ab48f,voucher,5,139.680000305176
003554e2dce176b5555353e4f3555ac8,credit_card,1,139.380004882812
004c9cd9d87a3c30c522c48c4fc07416,boleto,21,2823.38999938965
004c9cd9d87a3c30c522c48c4fc07416,credit_card,69,10304.1399879456
004c9cd9d87a3c30c522c48c4fc07416,voucher,4,445.029997527599
00ee68308b45bc5e2660cd833c3f81cc,boleto,4,794.65998840332
00ee68308b45bc5e2660cd833c3f81cc,credit_card,37,6912.98000717163
00ee68308b45bc5e2660cd833c3f81cc,voucher,1,88.7100009918213
010543a62bd80aa422851e79a3bc7540,credit_card,2,1447.95001220703
013900e863eace745d3ec7614cab5b1a,credit_card,8,1400.4700088501
014c0679dd340a0e338872e7ec85666a,credit_card,3,1329.30996704102
014d9a685fd57276679edd00e07089e5,boleto,1,133.369995117188
0176f73cc1195f367f7b32db1e5b3aa8,credit_card,3,706.160003662109
01bcc9d254a0143f0ce9791b960b2a47,boleto,2,270.100006103516
01bcc9d254a0143f0ce9791b960b2a47,credit_card,7,1076.11001968384
01bcc9d254a0143f0ce9791b960b2a47,voucher,1,113.160001754761
01c97ebb5cdac52891c0ed1c37ba0012,boleto,1,42.0900001525879
01c97ebb5cdac52891c0ed1c37ba0012,credit_card,2,213.869998931885
01cf7e3d21494c41fb86034f2e714fa1,boleto,2,282.180000305176
01cf7e3d21494c41fb86034f2e714fa1,credit_card,18,4525.06998443604
01cf7e3d21494c41fb86034f2e714fa1,voucher,2,100.0
01ed254b9ff8407dfb9d99ba1e17d923,credit_card,5,1533.71002197266
01fdefa7697d26ad920e9e0346d4bd1b,boleto,13,1760.56999969482
01fdefa7697d26ad920e9e0346d4bd1b,credit_card,47,7440.63001537323
01fdefa7697d26ad920e9e0346d4bd1b,voucher,1,89.9700002670288
0241d4d5d36f10f80c644447315af0bd,boleto,8,555.380001068115
0241d4d5d36f10f80c644447315af0bd,credit_card,16,1702.38996505737
0241d4d5d36f10f80c644447315af0bd,voucher,1,55.0099983215332
0249d282d911d23cb8b869ab49c99f53,boleto,2,99.7899971008301
0249d282d911d23cb8b869ab49c99f53,credit_card,8,435.449998855591
028872bfa080090a9d0abd4f1af168f8,credit_card,1,353.610008239746
02c988090b766852e088c69d7fb3b551,boleto,1,464.749984741211
02c988090b766852e088c69d7fb3b551,credit_card,4,572.700004577637
02c988090b766852e088c69d7fb3b551,voucher,1,51.8900003433228
02d35243ea2e497335cd0f076b45675d,boleto,2,577.539978027344
02d35243ea2e497335cd0f076b45675d,credit_card,8,5452.69998168945
02d35243ea2e497335cd0f076b45675d,voucher,1,297.269989013672
02dcd3e8e25bee036e32512bcf175493,credit_card,1,361.160003662109
02ecc2a19303f05e59ce133fd923fff7,boleto,1,147.350006103516
02ecc2a19303f05e59ce133fd923fff7,credit_card,8,3944.59005641937
02f5837340d7eb4f653d676c7256523a,boleto,1,147.149993896484
02f5837340d7eb4f653d676c7256523a,credit_card,11,1670.87995910645
04308b1ee57b6625f47df1d56f00eedf,boleto,2,2814.40002441406
04308b1ee57b6625f47df1d56f00eedf,credit_card,5,5770.63986968994
0432ead42b6c8a0bdf68154add917fdf,boleto,8,1044.88999938965
0432ead42b6c8a0bdf68154add917fdf,credit_card,43,4496.5899810791
0432ead42b6c8a0bdf68154add917fdf,voucher,2,97.6799999475479
048c2757535328e0d7dac690ad3c0aae,boleto,2,438.690002441406
048c2757535328e0d7dac690ad3c0aae,credit_card,13,2598.01002502441
04aa0a1c5ce6b222003403a3e11c3cc0,boleto,1,401.299987792969
04aa0a1c5ce6b222003403a3e11c3cc0,credit_card,5,7642.87023925781
04aba03279157f6d4e0fe8ccaf21963c,credit_card,7,1316.03997802734
04e38a233f726ef161074ab1c9b0399a,boleto,4,396.880004882812
04e38a233f726ef161074ab1c9b0399a,credit_card,10,1072.79001617432
04e38a233f726ef161074ab1c9b0399a,debit_card,1,31.2399997711182
04fdea0c111866e6cf812f1570d6b5bd,credit_card,4,569.269996643066
0509040ea3fe50071181bbc359eb7738,boleto,11,581.170009613037
0509040ea3fe50071181bbc359eb7738,credit_card,40,3003.03001540899
0509040ea3fe50071181bbc359eb7738,voucher,1,38.7099990844727
052577151711aec5c744fe12e66db3e1,boleto,2,1526.59002685547
052577151711aec5c744fe12e66db3e1,credit_card,2,1443.83001708984
054694fa03fe82cec4b7551487331d74,credit_card,4,1810.49000549316
056b4ada5bbc2c50cc7842547dda6b51,credit_card,4,1057.18997955322
058cb5aeb36d7c0fcae20fc85d5e0a59,credit_card,3,420.409996032715
058fd0aa2bfdb2274e05e1ae971dabb6,boleto,9,1636.93998718262
058fd0aa2bfdb2274e05e1ae971dabb6,credit_card,27,3563.78000259399
058fd0aa2bfdb2274e05e1ae971dabb6,voucher,1,100.0
05a940b4ecae36cadfd8e93bd9c43257,boleto,2,208.320007324219
05a940b4ecae36cadfd8e93bd9c43257,credit_card,5,319.789989471436
